zipcode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15006,12.54,19.7,22.312,16.388,18.423,18.335,17.575,19.24,23.242,17.204,1.608,17.953,18.998,26.031,7.774,15.185,4.698,7.964,18.644,19.842,17.086,19.642,19.809,9.432,10.618,12.748,11.848,12.338,7.381,11.569,14.08,10.449,17.773,7.507,9.471,21.089,23.326,23.641,7.664,16.782,15.18,22.42,22.857,22.819,17.137,12.896,13.43
15007,11.43,20.609,22.819,16.767,19.32,18.048,18.311,19.233,24.79,15.826,4.622,19.79,21.178,27.718,9.721,17.714,4.826,10.816,19.048,21.747,16.319,18.001,20.112,7.475,10.097,12.122,14.149,12.265,4.523,12.778,15.373,13.211,15.766,9.802,9.754,22.77,22.89,24.55,10.544,18.272,14.736,23.574,23.185,21.579,18.798,14.554,15.309
15014,18.647,21.496,24.857,19.701,20.37,22.764,19.989,23.081,23.017,23.395,6.016,17.304,17.018,25.204,9.274,12.183,10.837,0.841,21.692,18.764,22.401,26.093,22.978,16.567,16.159,18.19,10.575,16.976,14.923,13.784,15.587,7.185,24.699,7.985,14.012,20.627,27.752,25.14,4.815,17.348,20.121,23.368,25.768,28.618,17.151,13.614,13.343
15015,7.282,20.151,21.081,15.404,18.969,14.734,17.658,16.506,25.753,9.952,12.007,21.965,24.256,28.918,13.717,22.145,8.138,18.489,17.425,23.96,11.988,11.297,18.097,2.945,8.188,9.129,18.228,10.721,3.658,14.319,16.623,18.773,8.424,14.549,10.044,24.255,18.707,23.75,16.757,19.64,11.558,23.518,20.943,15.553,20.574,16.876,18.098
15017,12.229,6.831,3.73,6.376,7.111,4.742,6.661,3.253,12.4,10.915,22.652,13.675,16.814,14.972,16.802,19.266,17.916,26.907,4.53,14.533,7.676,12.301,3.258,17.04,12.476,10.69,17.188,10.23,21.38,12.336,11.116,20.739,15.029,18.116,13.003,12.88,3.447,7.206,21.579,11.237,8.041,8.814,2.462,9.48,12.348,13.327,14.339
15018,23.705,11.516,13.952,15.881,12.118,19.392,13.443,17.627,5.268,25.675,24.633,7.87,6.811,3.413,17.895,11.644,23.221,24.513,15.099,5.868,22.151,28.126,15.561,26.772,21.713,21.625,13.883,19.463,29.434,15.475,13.089,16.648,29.691,18.111,19.683,5.623,21.113,10.729,19.425,10.091,20.448,8.853,15.339,26.702,9.148,13.161,12.278
15020,21.473,8.337,8.324,13.092,9.568,15.144,10.827,13.116,5.093,21.895,26.901,10.659,12.147,4.941,19.847,16.834,23.855,28.678,11.282,9.66,18.305,23.781,11.03,25.613,20.342,19.439,17.296,17.768,29.232,15.906,13.348,20.879,26.108,20.619,19.241,7.457,15.01,4.913,23.085,10.748,17.41,5.089,9.313,21.236,10.736,14.694,14.606
15024,14.86,15.996,19.398,14.45,14.883,17.806,14.553,17.908,17.718,19.451,6.144,12.036,12.234,20.09,4.184,7.864,8.16,6.344,16.343,13.65,17.885,22.298,17.636,14.089,12.132,13.946,5.285,12.347,13.997,8.458,10.103,2.914,21.483,2.774,9.588,15.36,22.698,19.636,0.795,11.868,15.486,17.889,20.351,24.24,11.737,8.108,7.884
15025,16.359,3.381,6.069,8.079,4.219,11.267,5.6,9.458,3.036,17.727,20.819,5.352,7.898,6.145,13.771,11.779,17.863,22.833,6.973,5.315,14.144,20.058,7.385,20.098,14.828,14.266,11.504,12.33,23.456,9.857,7.28,15.2,21.842,14.58,13.408,3.294,13.084,3.756,17.199,4.708,12.674,1.488,7.512,18.528,4.915,8.637,8.67
15028,21.644,10.549,13.631,14.325,10.833,18.164,12.029,16.589,5.41,24.071,21.584,5.321,3.672,5.41,14.967,8.49,20.448,21.354,13.969,3.383,20.669,26.675,14.665,24.352,19.455,19.608,10.809,17.371,26.756,12.954,10.758,13.491,27.939,15.092,17.234,4.331,20.588,10.893,16.283,7.946,18.745,8.682,15.073,25.733,6.818,10.473,9.447
