Alpha,Cost_at_pod_cap_2.0_percent,Dist_at_pod_cap_2.0_percent,Cost_at_pod_cap_2.5_percent,Dist_at_pod_cap_2.5_percent,Cost_at_pod_cap_3.0_percent,Dist_at_pod_cap_3.0_percent,Cost_at_pod_cap_5.0_percent,Dist_at_pod_cap_5.0_percent,Cost_at_pod_cap_7.000000000000001_percent,Dist_at_pod_cap_7.000000000000001_percent
0.01,17101646.0,1588421.649599996,16960290.0,1358590.3334000006,16818923.0,1301834.9890000003,16677567.0,1254705.3064000006,16677567.0,1254705.3064000006
0.02,17101646.0,1588421.649599999,16818890.0,1360554.1064000006,16818923.0,1301834.9890000003,16677567.0,1254705.3064000006,16677567.0,1254705.3064000006
0.04,16818791.0,1597732.0938000013,16677391.0,1363992.1916000007,16535980.0,1309240.764400001,16394745.0,1262425.8496000005,16394745.0,1262425.8496000005
0.06,16818846.000000007,1597730.4096,16536001.999999847,1372479.9012000044,16394580.0,1317198.0190000003,16253345.0,1270450.1756000007,16111956.0,1278632.3288000005
0.08,16818846.00000005,1597730.409599994,16394580.0,1383230.960000001,16394580.0,1317201.8350000007,15687734.0,1315211.3600000008,15687734.0,1311547.5184000009
0.1,16818780.0,1597732.702800002,16253257.0,1395891.5450000009,15970391.0,1356002.9896000007,15404945.0,1343548.6496000006,15404945.0,1339884.8080000007
0.2,16535980.0,1634814.7222000016,15404779.999999998,1550098.8674000008,14980580.0,1510991.1956000011,13849380.0,1610705.0298,13708090.0,1638906.1879999996
0.3,16394579.999999998,1672145.9496000016,15263380.000000002,1598583.0494000004,14556380.0,1649307.2732000002,13283835.0,1784037.1243999999,13142446.0,1831193.9917999995
0.4,16394579.999999998,1672145.9496000013,15263379.999999998,1598583.0494000006,14414980.0,1728706.0183999988,13142380.0,1855625.2998000004,12718180.0,2043845.3090000004
0.5,16394579.999999998,1672145.9496000016,15263379.999999998,1598582.9628000006,14414980.000000006,1728706.0183999988,13000980.0,1965275.2556,12293980.000000002,2375786.6930000167
0.6,16394579.999999998,1672145.9496000016,15263379.999999998,1598583.0494000008,14414980.000000002,1728706.0183999985,13000980.0,1965275.255600001,12293980.0,2375786.693
0.7,16394579.999999998,1672146.878600001,15263380.0,1598582.9628000003,14414980.000000002,1728706.0183999983,13000980.0,1965275.255599999,12293980.000000004,2375786.693000001
0.8,16394579.999999998,1672146.8786000018,15263380.000000002,1600405.0318000007,14414980.000000004,1728706.018399998,13000980.000000002,1965275.2555999986,12293980.0,2375786.693
0.9,16394579.999999998,1672145.9496000016,15263379.999999998,1599573.3262000007,14414980.000000002,1728706.0183999988,13000980.0,1968238.7490000008,12293980.0,2375786.6930000004
0.92,16394579.999999996,1672147.5476000013,15263380.000000002,1598583.0546000006,14414980.000000004,1728706.018399998,13000980.0,1965276.1533999993,12293980.0,2375786.693
0.94,16394579.999999998,1672145.9496000016,15263380.0,1600407.0402000002,14414980.000000002,1728706.018399998,13000980.0,1975332.9068000007,12293979.999999998,2375786.6930000004
0.96,16394579.999999998,1672145.9496000013,15263380.0,1611615.355600001,14414980.000000002,1728706.018399998,13000980.0,1965275.2555999996,12293980.0,2377603.541600001
0.98,16394579.999999998,1732585.0614000012,15263380.0,1613785.3852000006,14414980.000000002,1767074.970399999,13000980.000000002,1965276.1533999995,12293980.0,2375786.6930000004
0.99,16394579.999999998,1672146.878600001,15263380.0,1613785.3852000006,14414980.000000002,1795417.9816000008,13000980.0,2028062.7830000003,12293980.0,2375786.693
