Alpha,Cost_at_pod_cap_2.0_percent,Max_Dist_at_pod_cap_2.0_percent,Total_Dist_at_pod_cap_2.0_percent,Cost_at_pod_cap_2.5_percent,Max_Dist_at_pod_cap_2.5_percent,Total_Dist_at_pod_cap_2.5_percent,Cost_at_pod_cap_3.0_percent,Max_Dist_at_pod_cap_3.0_percent,Total_Dist_at_pod_cap_3.0_percent,Cost_at_pod_cap_5.0_percent,Max_Dist_at_pod_cap_5.0_percent,Total_Dist_at_pod_cap_5.0_percent,Cost_at_pod_cap_7.000000000000001_percent,Max_Dist_at_pod_cap_7.000000000000001_percent,Total_Dist_at_pod_cap_7.000000000000001_percent
0.01,16687698.0,4.913,3131098.6996000004,15709519.0,4.913,3079256.2288038465,15135614.0,4.9129999999999985,3100279.7573999995,14481154.0,4.913,3118072.965665819,15401816.0,4.912999999999999,3184533.6452000006
0.02,16660676.0,4.913,2956168.7408,16128147.0,4.913,3114333.0125999996,15122002.0,4.913,3382300.3452000013,13708002.0,4.912999999999999,3060802.8981999997,13849424.0,4.913,3014663.515799799
0.04,16546287.0,4.912999999999999,3062117.079199999,15862403.0,4.9129999999999985,3065000.654200001,14980585.0,4.9129999999999985,3129199.932062251,13712710.0,4.912999999999999,2902259.4107999997,13566591.0,5.008,3267865.1416000007
0.06,16910327.0,4.9129999999999985,3072488.8003999996,15546180.0,4.9129999999999985,3170271.577399999,14839180.0,4.913,3079263.187199999,13571970.0,4.912999999999999,2969825.061399999,13567570.0,4.9190000000000005,2949316.8691999996
0.08,16677380.0,4.912999999999999,3289939.7915999303,15546202.0,4.913,3093381.761,14980580.0,4.913,2939981.2784,13641061.0,4.968999999999999,3013431.2562,13283802.0,4.913,3131088.9143593386
0.1,16688523.0,4.912999999999991,3022537.0362,15845347.0,4.9129999999999985,3140401.4731999994,14839180.0,4.913,3308825.0617999993,13425191.0,4.9129999999999985,2966990.093599999,13142402.0,4.912999999999999,3000772.0321999993
0.2,16535980.0,4.913000000000001,3138425.579,15404791.0,4.979999999999999,3016861.7099999986,14839191.0,4.913,2968705.456799999,13566580.0,4.979999999999999,2947612.8836000017,13000991.0,4.943999999999999,3192890.612000001
0.3,16574942.0,4.912999999999997,3214650.4848000016,15559061.0,4.9129999999999985,3112590.5417999984,14839191.000000002,4.940999999999999,3230458.647599997,13583399.0,5.063,3086282.2733999994,13142391.0,4.941,2971747.018000001
0.4,16546276.0,4.98,3088930.4384000013,15404779.999999996,4.98,3279101.524400003,14839180.0,4.9129999999999985,3258778.7096,13628966.0,5.761,3377603.2914,13142424.0,4.941,2946040.3964000004
0.5,16535991.0,4.912999999999996,3117876.0677999984,15263380.0,5.087,3124785.0100000016,14839191.0,4.913,3064498.450799999,13283791.0,5.268,3402513.1467999998,13238102.0,4.941,3148659.0270000007
0.6,16394580.0,5.062999999999991,3032772.9504000004,15263391.0,5.158,2936101.0189600103,14697780.0,4.98,2960100.057399996,13283791.0,5.1579999999999995,3209414.9602000006,13001002.0,5.048,3022997.641835948
0.7,16394580.0,5.063,3227012.610000001,15263380.0,5.149,3098270.75980007,14556380.0,5.148999999999999,3266943.1484000003,13000980.0,5.702000000000001,3374157.8983999984,12718191.0,5.622999999999999,3253939.959399999
0.8,16394580.0,5.18,3173812.608800002,15263380.000000002,5.062999999999998,3231283.196599999,14556380.000000002,5.178999999999999,3236052.3520000014,13000991.0,5.8309999999999995,3276055.383200001,12293980.0,6.756,4267772.3096
0.9,16394579.999999998,5.063,2814125.0916,15263380.0,5.063000000000001,3088685.5956000015,14414980.000000002,6.027,3660915.305999998,13000980.0,6.444,3989997.3025506907,12435380.0,6.287999999999999,3777936.830400001
0.92,16394580.0,5.062999969410679,2526437.8264000015,15263380.0,5.18,3232959.5162,14414980.0,6.027000000000001,3436504.216,13000991.000000002,6.026999999999999,3571110.927,12435380.0,5.8679999999999986,3489992.7719999985
0.94,16394580.0,5.063,3108963.5044,15263380.0,5.267999999999997,3326345.9187999987,14414980.0,5.977,3429004.830399999,13000980.0,6.144,3902872.5622000014,12293990.999999655,7.925999999999999,4723707.891398414
0.96,16394580.0,5.18,3209381.6467999993,15263380.0,5.062999999999999,3030520.8081999994,14414980.0,6.267,3990313.8068,13000980.0,6.56,4198511.246086409,12293980.0,8.021,4800029.173596654
0.98,16394580.000000004,5.178999999999999,3502392.2964000003,15263380.0,6.086,3507894.5038,14414980.0,5.977,3556322.725955986,13000980.0,7.718999999999999,4240395.582600005,12293980.0,7.381,4141803.6113999994
0.99,16394580.0,5.158,2954846.8444000008,15263380.0,5.267999999999999,2836525.4400000004,14414980.0,6.45,3954922.954400002,13000980.0,6.6610000000000005,4432696.7682,12293980.0,9.417,5474585.878200002
