zipcode,outbreak100,min100,outbreak30,min30,outbreak60,min60
15006,1,0.8,1,0.8,1,0.8
15007,1,0.8,1,0.8,1,0.8
15014,1,0.8,1,0.8,1,0.8
15015,1,0.8,1,0.8,1,0.8
15017,1,0.8,1,0.8,1,0.8
15018,1,0.8,1,0.8,1,0.8
15020,1,0.8,1,0.8,1,0.8
15024,1,0.8,1,0.8,1,0.8
15025,1,0.8,1,0.8,1,0.8
15028,1,0.8,1,0.8,1,0.8
15030,1,0.8,1,0.8,1,0.8
15031,1,0.8,1,0.8,1,0.8
15034,1,0.8,1,0.8,1,0.8
15035,1,0.8,1,0.8,1,0.8
15037,1,0.8,1,0.8,1,0.8
15044,1,0.8,1,0.8,1,0.8
15045,1,0.8,1,0.8,1,0.8
15046,1,0.8,1,0.8,1,0.8
15047,1,0.8,1,0.8,1,0.8
15049,1,0.8,1,0.8,1,0.8
15051,1,0.8,1,0.8,1,0.8
15056,1,0.8,1,0.8,1,0.8
15064,1,0.8,1,0.8,1,0.8
15065,1,0.8,1,0.8,1,0.8
15071,1,0.8,1,0.8,1,0.8
15075,1,0.8,1,0.8,1,0.8
15076,1,0.8,1,0.8,1,0.8
15082,1,0.8,1,0.8,1,0.8
15084,1,0.8,1,0.8,1,0.8
15086,1,0.8,1,0.8,1,0.8
15088,1,0.8,1,0.8,1,0.8
15090,1,0.8,1,0.8,1,0.8
15101,1,0.8,0,0.1,1,0.8
15102,1,0.8,0,0.1,1,0.8
15104,1,0.8,0,0.1,1,0.8
15106,1,0.8,0,0.1,1,0.8
15108,1,0.8,0,0.1,1,0.8
15110,1,0.8,0,0.1,1,0.8
15112,1,0.8,0,0.1,1,0.8
15116,1,0.8,0,0.1,1,0.8
15120,1,0.8,0,0.1,1,0.8
15122,1,0.8,0,0.1,1,0.8
15126,1,0.8,0,0.1,1,0.8
15129,1,0.8,0,0.1,1,0.8
15131,1,0.8,0,0.1,1,0.8
15132,1,0.8,0,0.1,1,0.8
15133,1,0.8,0,0.1,1,0.8
15135,1,0.8,0,0.1,1,0.8
15136,1,0.8,0,0.1,1,0.8
15137,1,0.8,0,0.1,1,0.8
15139,1,0.8,0,0.1,1,0.8
15140,1,0.8,0,0.1,1,0.8
15142,1,0.8,0,0.1,1,0.8
15143,1,0.8,0,0.1,1,0.8
15144,1,0.8,0,0.1,1,0.8
15145,1,0.8,0,0.1,1,0.8
15146,1,0.8,0,0.1,1,0.8
15147,1,0.8,0,0.1,1,0.8
15148,1,0.8,0,0.1,1,0.8
15201,1,0.8,0,0.1,1,0.8
15202,1,0.8,0,0.1,1,0.8
15203,1,0.8,0,0.1,1,0.8
15204,1,0.8,0,0.1,1,0.8
15205,1,0.8,0,0.1,1,0.8
15206,1,0.8,0,0.1,1,0.8
15207,1,0.8,0,0.1,0,0.1
15208,1,0.8,0,0.1,0,0.1
15209,1,0.8,0,0.1,0,0.1
15210,1,0.8,0,0.1,0,0.1
15211,1,0.8,0,0.1,0,0.1
15212,1,0.8,0,0.1,0,0.1
15213,1,0.8,0,0.1,0,0.1
15214,1,0.8,0,0.1,0,0.1
15215,1,0.8,0,0.1,0,0.1
15216,1,0.8,0,0.1,0,0.1
15217,1,0.8,0,0.1,0,0.1
15218,1,0.8,0,0.1,0,0.1
15219,1,0.8,0,0.1,0,0.1
15220,1,0.8,0,0.1,0,0.1
15221,1,0.8,0,0.1,0,0.1
15222,1,0.8,0,0.1,0,0.1
15223,1,0.8,0,0.1,0,0.1
15224,1,0.8,0,0.1,0,0.1
15225,1,0.8,0,0.1,0,0.1
15226,1,0.8,0,0.1,0,0.1
15227,1,0.8,0,0.1,0,0.1
15228,1,0.8,0,0.1,0,0.1
15229,1,0.8,0,0.1,0,0.1
15232,1,0.8,0,0.1,0,0.1
15233,1,0.8,0,0.1,0,0.1
15234,1,0.8,0,0.1,0,0.1
15235,1,0.8,0,0.1,0,0.1
15236,1,0.8,0,0.1,0,0.1
15237,1,0.8,0,0.1,0,0.1
15238,1,0.8,0,0.1,0,0.1
15239,1,0.8,0,0.1,0,0.1
15241,1,0.8,0,0.1,0,0.1
15243,1,0.8,0,0.1,0,0.1
